  0:00:00.000    24M / 24M   INFO    General                 (main.cpp                  : 134)   Starting SPAdes-based standalone graph simplifier, built from N/A, git revision N/A
  0:00:00.008    25M / 25M   INFO    General                 (main.cpp                  : 143)   K-mer length set to 77
  0:00:00.008    25M / 25M   INFO    General                 (main.cpp                  : 148)   # of threads to use: 8
  0:00:00.008    25M / 25M   INFO    General                 (main.cpp                  : 152)   Loading de Bruijn graph from subgraphs/bin_merged/Bin_351/raw_subgraphs/COG0060.gfa
  0:00:00.018    25M / 25M   INFO    General                 (utils.hpp                 :  35)   GFA segments: 228, links: 606
  0:00:00.019    25M / 25M   INFO    General                 (utils.hpp                 :  40)   Graph loaded. Total vertices: 912 Total edges: 456
  0:00:00.022    25M / 25M   INFO    General                 (main.cpp                  : 191)   Loading edge profiles from subgraphs/bin_merged/Bin_351/raw_subgraphs/COG0060.tsv
  0:00:00.031    25M / 25M   INFO    General                 (main.cpp                  : 194)   Sample count determined as 10
  0:00:00.038    25M / 25M   INFO    General                 (main.cpp                  : 204)   Loading stop codon positions from subgraphs/bin_merged/Bin_351/raw_subgraphs/COG0060.stops
  0:00:00.044    25M / 25M   INFO    General                 (main.cpp                  : 216)   Estimated mean coverage was specified as 639.478766
  0:00:00.044    25M / 25M   INFO    General                 (main.cpp                  : 230)   Erroneous connection coverage threshold set at 12.7896
  0:00:00.044    25M / 25M   INFO    General                 (simplification.hpp        : 111)   Graph simplification started
  0:00:00.044    25M / 25M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 1
  0:00:00.044    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.060    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.060    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.081    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 45 times
  0:00:00.082    26M / 26M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 2
  0:00:00.082    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.082    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.082    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.083    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 20 times
  0:00:00.083    26M / 26M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 3
  0:00:00.084    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.084    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.084    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.084    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 1 times
  0:00:00.084    26M / 26M   INFO    General                 (simplification.hpp        : 143)   Unconditional coverage lower-bound set at 6.39479
  0:00:00.085    26M / 26M   INFO    General                 (graph_simplification.hpp  : 456)   Disconnection of relatively low covered edges disabled
  0:00:00.085    26M / 26M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 1
  0:00:00.085    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.088    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.088    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.093    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.093    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Removing all edges with coverage below 6.394788
  0:00:00.101    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Removing all edges with coverage below 6.394788 triggered 5 times
  0:00:00.101    26M / 26M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 2
  0:00:00.101    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.102    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.102    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.102    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.102    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Removing all edges with coverage below 6.394788
  0:00:00.102    26M / 26M   INFO   Simplification           (parallel_processing.hpp   : 167)   Removing all edges with coverage below 6.394788 triggered 0 times
  0:00:00.102    26M / 26M   INFO    General                 (main.cpp                  : 243)   Saving graph to subgraphs/bin_merged/Bin_351/simplif//COG0060
  0:00:00.112    26M / 26M   INFO    General                 (main.cpp                  : 253)   Saving GFA
  0:00:00.119    26M / 26M   INFO    General                 (main.cpp                  : 261)   Saving profile storage
  0:00:00.124    26M / 26M   INFO    General                 (main.cpp                  : 267)   Saving codons
  0:00:00.130    26M / 26M   INFO    General                 (main.cpp                  : 273)   Saving deadends
  0:00:00.136    26M / 26M   INFO    General                 (main.cpp                  : 286)   Finished
